grupo,patologia,n_holders,distribuicao,parametro_dist,n_candidatos,tamanho_comite,turnout,n_aprovacoes,n_blocos,frac_proxy,tam_cartel,orcamento_suborno,frac_exchange,frac_colludida,n_rodadas,vantagem_incumbencia,reinveste_recompensa,metrica,camada,n_runs,seed_base
G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,custo_por_cadeira;custo_takeover;custo_takeover_51;gini;coef_nakamoto,stake;eleito;produzido,30,123
G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.02,0.0,0.0,1,0.0,0.0,custo_por_cadeira;custo_takeover;custo_takeover_51;gini;coef_nakamoto,stake;eleito;produzido,30,123
G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.05,0.0,0.0,1,0.0,0.0,custo_por_cadeira;custo_takeover;custo_takeover_51;gini;coef_nakamoto,stake;eleito;produzido,30,123
G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.1,0.0,0.0,1,0.0,0.0,custo_por_cadeira;custo_takeover;custo_takeover_51;gini;coef_nakamoto,stake;eleito;produzido,30,123
G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,custo_por_cadeira;custo_takeover;custo_takeover_51;gini;coef_nakamoto,stake;eleito;produzido,30,123
G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.02,0.0,0.0,1,0.0,0.0,custo_por_cadeira;custo_takeover;custo_takeover_51;gini;coef_nakamoto,stake;eleito;produzido,30,123
G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.05,0.0,0.0,1,0.0,0.0,custo_por_cadeira;custo_takeover;custo_takeover_51;gini;coef_nakamoto,stake;eleito;produzido,30,123
G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.1,0.0,0.0,1,0.0,0.0,custo_por_cadeira;custo_takeover;custo_takeover_51;gini;coef_nakamoto,stake;eleito;produzido,30,123
G4,compra_de_voto,200,zipf,1.16,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,custo_por_cadeira;custo_takeover;custo_takeover_51;gini;coef_nakamoto,stake;eleito;produzido,30,123
G4,compra_de_voto,200,zipf,1.16,100,21,1.0,30,10000,0.0,0,0.02,0.0,0.0,1,0.0,0.0,custo_por_cadeira;custo_takeover;custo_takeover_51;gini;coef_nakamoto,stake;eleito;produzido,30,123
G4,compra_de_voto,200,zipf,1.16,100,21,1.0,30,10000,0.0,0,0.05,0.0,0.0,1,0.0,0.0,custo_por_cadeira;custo_takeover;custo_takeover_51;gini;coef_nakamoto,stake;eleito;produzido,30,123
G4,compra_de_voto,200,zipf,1.16,100,21,1.0,30,10000,0.0,0,0.1,0.0,0.0,1,0.0,0.0,custo_por_cadeira;custo_takeover;custo_takeover_51;gini;coef_nakamoto,stake;eleito;produzido,30,123
G4,compra_de_voto,500,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,custo_por_cadeira;custo_takeover;custo_takeover_51;gini;coef_nakamoto,stake;eleito;produzido,30,123
G4,compra_de_voto,500,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.02,0.0,0.0,1,0.0,0.0,custo_por_cadeira;custo_takeover;custo_takeover_51;gini;coef_nakamoto,stake;eleito;produzido,30,123
G4,compra_de_voto,500,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.05,0.0,0.0,1,0.0,0.0,custo_por_cadeira;custo_takeover;custo_takeover_51;gini;coef_nakamoto,stake;eleito;produzido,30,123
G4,compra_de_voto,500,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.1,0.0,0.0,1,0.0,0.0,custo_por_cadeira;custo_takeover;custo_takeover_51;gini;coef_nakamoto,stake;eleito;produzido,30,123
G4,compra_de_voto,500,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,custo_por_cadeira;custo_takeover;custo_takeover_51;gini;coef_nakamoto,stake;eleito;produzido,30,123
G4,compra_de_voto,500,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.02,0.0,0.0,1,0.0,0.0,custo_por_cadeira;custo_takeover;custo_takeover_51;gini;coef_nakamoto,stake;eleito;produzido,30,123
G4,compra_de_voto,500,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.05,0.0,0.0,1,0.0,0.0,custo_por_cadeira;custo_takeover;custo_takeover_51;gini;coef_nakamoto,stake;eleito;produzido,30,123
G4,compra_de_voto,500,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.1,0.0,0.0,1,0.0,0.0,custo_por_cadeira;custo_takeover;custo_takeover_51;gini;coef_nakamoto,stake;eleito;produzido,30,123
G4,compra_de_voto,500,zipf,1.16,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,custo_por_cadeira;custo_takeover;custo_takeover_51;gini;coef_nakamoto,stake;eleito;produzido,30,123
G4,compra_de_voto,500,zipf,1.16,100,21,1.0,30,10000,0.0,0,0.02,0.0,0.0,1,0.0,0.0,custo_por_cadeira;custo_takeover;custo_takeover_51;gini;coef_nakamoto,stake;eleito;produzido,30,123
G4,compra_de_voto,500,zipf,1.16,100,21,1.0,30,10000,0.0,0,0.05,0.0,0.0,1,0.0,0.0,custo_por_cadeira;custo_takeover;custo_takeover_51;gini;coef_nakamoto,stake;eleito;produzido,30,123
G4,compra_de_voto,500,zipf,1.16,100,21,1.0,30,10000,0.0,0,0.1,0.0,0.0,1,0.0,0.0,custo_por_cadeira;custo_takeover;custo_takeover_51;gini;coef_nakamoto,stake;eleito;produzido,30,123
G4,compra_de_voto,1000,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,custo_por_cadeira;custo_takeover;custo_takeover_51;gini;coef_nakamoto,stake;eleito;produzido,30,123
G4,compra_de_voto,1000,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.02,0.0,0.0,1,0.0,0.0,custo_por_cadeira;custo_takeover;custo_takeover_51;gini;coef_nakamoto,stake;eleito;produzido,30,123
G4,compra_de_voto,1000,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.05,0.0,0.0,1,0.0,0.0,custo_por_cadeira;custo_takeover;custo_takeover_51;gini;coef_nakamoto,stake;eleito;produzido,30,123
G4,compra_de_voto,1000,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.1,0.0,0.0,1,0.0,0.0,custo_por_cadeira;custo_takeover;custo_takeover_51;gini;coef_nakamoto,stake;eleito;produzido,30,123
G4,compra_de_voto,1000,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,custo_por_cadeira;custo_takeover;custo_takeover_51;gini;coef_nakamoto,stake;eleito;produzido,30,123
G4,compra_de_voto,1000,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.02,0.0,0.0,1,0.0,0.0,custo_por_cadeira;custo_takeover;custo_takeover_51;gini;coef_nakamoto,stake;eleito;produzido,30,123
G4,compra_de_voto,1000,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.05,0.0,0.0,1,0.0,0.0,custo_por_cadeira;custo_takeover;custo_takeover_51;gini;coef_nakamoto,stake;eleito;produzido,30,123
