id_execucao,id_cenario,grupo,patologia,n_holders,distribuicao,parametro_dist,n_candidatos,tamanho_comite,turnout,n_aprovacoes,n_blocos,frac_proxy,tam_cartel,orcamento_suborno,frac_exchange,frac_colludida,n_rodadas,vantagem_incumbencia,reinveste_recompensa,metrica,camada,media,ic95,n_runs,seed_base
20260703-200911,1,G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,custo_por_cadeira,stake,0.013179,0.009046,30,123
20260703-200911,1,G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,custo_por_cadeira,eleito,0.013179,0.009046,30,123
20260703-200911,1,G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,custo_por_cadeira,produzido,0.013179,0.009046,30,123
20260703-200911,1,G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,custo_takeover,stake,2.693212,0.341268,30,123
20260703-200911,1,G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,custo_takeover,eleito,2.693212,0.341268,30,123
20260703-200911,1,G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,custo_takeover,produzido,2.693212,0.341268,30,123
20260703-200911,1,G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,custo_takeover_51,stake,4.02984,0.49623,30,123
20260703-200911,1,G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,custo_takeover_51,eleito,4.02984,0.49623,30,123
20260703-200911,1,G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,custo_takeover_51,produzido,4.02984,0.49623,30,123
20260703-200911,1,G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,gini,stake,0.643934,0.040117,30,123
20260703-200911,1,G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,gini,eleito,0.264051,0.043349,30,123
20260703-200911,1,G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,gini,produzido,0.267473,0.043594,30,123
20260703-200911,1,G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,coef_nakamoto,stake,5.133333,1.235093,30,123
20260703-200911,1,G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,coef_nakamoto,eleito,4.633333,0.273713,30,123
20260703-200911,1,G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,coef_nakamoto,produzido,4.6,0.275588,30,123
20260703-200911,2,G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.02,0.0,0.0,1,0.0,0.0,custo_por_cadeira,stake,0.017694,0.009204,30,123
20260703-200911,2,G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.02,0.0,0.0,1,0.0,0.0,custo_por_cadeira,eleito,0.017694,0.009204,30,123
20260703-200911,2,G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.02,0.0,0.0,1,0.0,0.0,custo_por_cadeira,produzido,0.017694,0.009204,30,123
20260703-200911,2,G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.02,0.0,0.0,1,0.0,0.0,custo_takeover,stake,2.744086,0.348861,30,123
20260703-200911,2,G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.02,0.0,0.0,1,0.0,0.0,custo_takeover,eleito,2.744086,0.348861,30,123
20260703-200911,2,G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.02,0.0,0.0,1,0.0,0.0,custo_takeover,produzido,2.744086,0.348861,30,123
20260703-200911,2,G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.02,0.0,0.0,1,0.0,0.0,custo_takeover_51,stake,4.150977,0.496591,30,123
20260703-200911,2,G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.02,0.0,0.0,1,0.0,0.0,custo_takeover_51,eleito,4.150977,0.496591,30,123
20260703-200911,2,G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.02,0.0,0.0,1,0.0,0.0,custo_takeover_51,produzido,4.150977,0.496591,30,123
20260703-200911,2,G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.02,0.0,0.0,1,0.0,0.0,gini,stake,0.643934,0.040117,30,123
20260703-200911,2,G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.02,0.0,0.0,1,0.0,0.0,gini,eleito,0.260308,0.041046,30,123
20260703-200911,2,G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.02,0.0,0.0,1,0.0,0.0,gini,produzido,0.263718,0.041335,30,123
20260703-200911,2,G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.02,0.0,0.0,1,0.0,0.0,coef_nakamoto,stake,5.133333,1.235093,30,123
20260703-200911,2,G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.02,0.0,0.0,1,0.0,0.0,coef_nakamoto,eleito,4.733333,0.264691,30,123
20260703-200911,2,G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.02,0.0,0.0,1,0.0,0.0,coef_nakamoto,produzido,4.666667,0.271282,30,123
20260703-200911,3,G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.05,0.0,0.0,1,0.0,0.0,custo_por_cadeira,stake,0.019249,0.009085,30,123
20260703-200911,3,G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.05,0.0,0.0,1,0.0,0.0,custo_por_cadeira,eleito,0.019249,0.009085,30,123
20260703-200911,3,G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.05,0.0,0.0,1,0.0,0.0,custo_por_cadeira,produzido,0.019249,0.009085,30,123
20260703-200911,3,G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.05,0.0,0.0,1,0.0,0.0,custo_takeover,stake,2.671869,0.338892,30,123
20260703-200911,3,G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.05,0.0,0.0,1,0.0,0.0,custo_takeover,eleito,2.671869,0.338892,30,123
20260703-200911,3,G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.05,0.0,0.0,1,0.0,0.0,custo_takeover,produzido,2.671869,0.338892,30,123
20260703-200911,3,G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.05,0.0,0.0,1,0.0,0.0,custo_takeover_51,stake,4.042872,0.48304,30,123
20260703-200911,3,G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.05,0.0,0.0,1,0.0,0.0,custo_takeover_51,eleito,4.042872,0.48304,30,123
20260703-200911,3,G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.05,0.0,0.0,1,0.0,0.0,custo_takeover_51,produzido,4.042872,0.48304,30,123
20260703-200911,3,G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.05,0.0,0.0,1,0.0,0.0,gini,stake,0.643934,0.040117,30,123
20260703-200911,3,G4,compra_de_voto,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.05,0.0,0.0,1,0.0,0.0,gini,eleito,0.265876,0.040347,30,123
